instrument_id,tag,unit_op,stream_ref,measured_variable,measurement_mode,purpose,provenance,source_key,gap_ref,notes
I-001,LI-0001,U00-BUF,S03,level,in_line,Buffer vessel working volume and impeller submergence,assumption,,Q-049,"Monitoring only: no control row references it. The minimum working volume that makes this reading meaningful is itself unknown (Q-049), which is why U00-BUF carries a turndown basis rather than a turndown ratio."
I-002,TI-0002,U00-BUF,,temperature,in_line,Buffer hold temperature,assumption,,Q-043,"Monitoring only. The ligation buffer is growth-promoting and the whole train is aqueous, so hold temperature and hold time together drive the contamination-control strategy (R-009, Q-043)."
I-003,AI-0003,U00-BUF,S03,conductivity,at_line,Prepared-buffer strength and identity check before release to the reactor,assumption,,,"Monitoring only. A conductivity check catches a mis-charged buffer; it does not establish composition, which is in buffers.csv (BUF-LIG)."
I-004,AI-0004,U00-BUF,S03,ph,at_line,Prepared-buffer pH before release to the reactor,assumption,,,Monitoring only.
I-005,QI-0005,U00-BUF,S03,bioburden,off_line,Bioburden sample point on the buffer hold,inference,SRC-PHEUR-5-1-4,Q-043,"Monitoring only. Non-sterile microbiological quality is a compendial expectation (SRC-PHEUR-5-1-4); the hold-time limits that would set the sampling frequency do not exist for this train (Q-043, R-009)."
I-006,QI-0006,U00-BUF,,endotoxin,off_line,Endotoxin sample point on the water and buffer entering the train,inference,SRC-PHEUR-0169,,Monitoring only. Water for injections is controlled for bacterial endotoxins by its monograph (SRC-PHEUR-0169); this is the entry point for the endotoxin load that R-017 says a cell-free extract route would add to downstream of it.
I-007,TIC-0101,U01-LIG,S04,temperature,in_line,Ligation reaction temperature control,assumption,,Q-050,"Enforces P-LIG-T. The setpoint is a placeholder: 25 C is what both cited ligation examples ran at, but the optimum moves with the enzyme and its form, which is undecided (Q-050)."
I-008,LI-0102,U01-LIG,S04,level,in_line,Reactor working volume and low-shear mixing at low fill,assumption,,Q-049,Monitoring only.
I-009,AI-0103,U01-LIG,S03,concentration,off_line,"ATP concentration in the charged ligation buffer, by HPLC",assumption,,Q-040,"Enforces P-LIG-ATP, and it is OFF-line by nature: ATP is fixed by what is weighed into the buffer, not trimmed during the reaction. The setpoint itself is contested - four ligations want at least 4 mM while suppressing the adenylylated dead end wants under 100 uM, and no source resolves it (Q-040, R-010)."
I-010,AI-0104,U01-LIG,S04,conversion,at_line,"Ligation conversion, in-process control",assumption,,Q-010,"Enforces P-LIG-CONV (EQ-LIG). At-line rather than in-line: conversion is a chromatographic measurement on a withdrawn sample. Note that the strongest engineered-ligase source reports RELATIVE PEAK AREA only and so does not itself set an acceptance value (SRC-USPTO-10640812, Q-010, Q-050)."
