reagent_id,name,unit_op,function,grade,hazard_class,supply_risk,regulatory_note,confidence,notes
RG-010,Ammonium hydroxide,UO-01,Cleavage and base deprotection,Process,Corrosive and toxic vapour,Low,,SEED,Requires scrubbed vessel and local exhaust
RG-011,Methylamine,UO-01,Accelerated deprotection,Process,Flammable and toxic,Low,,SEED,Often used with ammonia
RG-012,Fluoride deprotection reagent,UO-01,2 prime deprotection,Process,Highly hazardous,Medium,,SEED,Specific first aid and material compatibility required
RG-050,Ion-pair reagent alkylamine,UO-05,Ion pairing,HPLC,Flammable and corrosive,Low,,SEED,Chain length is a selectivity handle
RG-051,Hexafluoroisopropanol,UO-05,Ion-pair modifier,HPLC,Corrosive,HIGH,Fluorochemical restrictions under evaluation in several jurisdictions,SEED,See RSK-052 and OQ-011. Secure supply or qualify alternative
RG-052,Acetonitrile,UO-05,Organic modifier,HPLC,Flammable and toxic,Medium,ICH Q3C class 2 residual solvent limit,SEED,Largest solvent consumer. Recovery should be evaluated
RG-060,Acetic acid or equivalent,UO-06,Detritylation,Process,Corrosive,Low,,SEED,
RG-061,Neutralising base,UO-06,Quench,Process,Corrosive,Low,,SEED,Quench speed affects depurination
RG-100,Phosphoramidites modified,Synthesis,Chain assembly,Process,Varies,HIGH,Starting material control per ICH Q11,SEED,Dominant cost of goods and lead time driver
RG-200,RNA ligase,Ligation route only,Enzymatic joining,GMP grade,Biological,HIGH,Requires supplier audit and clearance validation,SEED,Only if chemoenzymatic route selected
RG-201,Splint oligonucleotide,Ligation route only,Template for splinted ligation,GMP grade,Low,Medium,Becomes CQA-17 clearance obligation,SEED,Only if chemoenzymatic route selected
RG-202,Nuclease for splint digestion,Ligation route only,Splint removal,GMP grade,Biological,Medium,Adds a second protein clearance obligation,SEED,Only if chemoenzymatic route selected
