control_id,cpp,cqa,unit_op,param_ref,equation_ref,risk_ref,instrument_ref,control_type,acceptance_basis,gap_ref,provenance,source_key,notes
C-001,Incoming block full-length purity,Full-length purity,SUPPLY,P-BLOCK-PUR;P-N-BLOCKS,EQ-PURITY,R-018,,set_at_supply,"Full-length ceiling compounded from P-BLOCK-PUR over P-N-BLOCKS (EQ-PURITY). An assumption, not a specification.",Q-011,inference,SRC-WO2020227618,"The first anchor point, as data: this is the control that sets the purity ceiling, and it sits OUTSIDE the facility. No downstream separation can raise it, because block-internal n-1 differs from the product by one nucleotide in the middle of a strand. No in-facility instrument enforces it - the enforcement is an incoming specification and a supplier certificate. The measured basis is 89-96 percent for 4-5 nt modified blocks (SRC-WO2020227618), which are NOT our 5'-phosphate blocks (Q-011). A route that omits capping makes this worse by converting coupling failures into deletions rather than truncations (R-018)."
C-002,Ligation conversion per ligation,Full-length purity,U01-LIG,P-LIG-CONV,EQ-LIG,R-002,I-010,in_reaction,"P-LIG-CONV per ligation, compounded over the assembly (EQ-LIG). Assumption.",Q-010,assumption,SRC-CN119265174,"Conversion is what decides how much whole-block impurity is introduced, and unlike the block floor it IS adjustable in-facility. The cited figure is per-ligation, not a step mass yield (P-YLD-LIG), and it comes from a 5 mL packed column at 600 uM - a different scale and a different enzyme format from a kg-scale batch (Q-010, Q-050)."
C-003,ATP concentration in the ligation reaction,Full-length purity,U01-LIG,P-LIG-ATP,,R-010,I-009,in_reaction,"P-LIG-ATP as charged into the ligation buffer. Assumption, and a CONTESTED one - though the conflict is a coupling with a known reconciling mechanism, not an empty feasible region (Q-040).",Q-040,assumption,SRC-ALMAC-2023,"This row is where the control strategy contradicts itself and says so. REWRITTEN 2026-09-25 because the contradiction was overstated. The 'at least 4 mM ATP' sentence is verbatim in SRC-WO2025262452 and appears twice, but it states THE PROBLEM THAT DOCUMENT'S INVENTION SOLVES, not an operating condition: the same document teaches 'less than about 4 mM ATP ... optionally ... 0.5 mM or less', says its ATP regeneration system 'overcomes the requirement for high concentrations of ATP', and claims complete ligation with 'sub-stoichiometric quantities of ATP or AMP'. The suppression side is softer too - SRC-PBCV1-2014 reports little inhibition at 1 mM ATP for most sequences, not a hard ceiling at 100 uM. So the earlier reading, that the feasible window is empty at every demonstrated titre, is NOT supported and is not written. What remains is a genuine two-way coupling with a mechanism that reconciles it - in-situ regeneration from AMP and polyphosphate, exemplified in the very document cited for the high bound - and a second coupling nobody had registered: ATP chelates magnesium roughly one-for-one, so the ATP charge draws down free Mg2+ in a 10 mM MgCl2 buffer and propagates into the hardest clearance gap in the register (IMP-DIVALENT, R-014). Both are in couplings.csv. The optimum still moves with the enzyme form (Q-050) and the dead end cannot be filtered out afterwards (R-010). The acceptance basis is a placeholder with a live coupling attached, not a setpoint (Q-040)."
C-004,Ligation reaction temperature,Full-length purity,U01-LIG,P-LIG-T,,R-003,I-007,in_reaction,P-LIG-T at the reactor. Assumption.,Q-050,assumption,SRC-CN119265174,"Both cited ligation examples ran at the same temperature, in two different regimes with two different enzymes - agreement, but not a demonstrated optimum for ours (Q-050). A higher setpoint would also move the reaction closer to the duplex melting band (P-DS-TM, Q-030, R-003), so this parameter is bounded from above by a limit nobody has measured for our sequence."
C-005,Ligation hold time,Full-length purity,U01-LIG,P-LIG-TIME,EQ-LIG,,I-010,in_reaction,"The reaction is held to a conversion endpoint, not to a clock; P-LIG-TIME is the band that has been demonstrated and is an expectation rather than a limit. The endpoint TEST exists and is demonstrated on this buffer, but its limit of quantitation, its precision and the rule for declaring conversion stationary are all unregistered (Q-067).",Q-050;Q-010;Q-067,assumption,SRC-USPTO-10640812,"The instrument named here is the conversion IPC, not a timer, and that is the point: a hold time is an outcome of the reaction reaching its endpoint. STRENGTHENED 2026-09-25 after checking whether this control was executable at all. It is: the demonstrated method runs in 12.5 min on our exact buffer (SRC-ALMAC-2023 SI Table S3) and the reaction moves about 0.70 points per hour near the endpoint, so the 0.35-0.70 points lost to a 30-60 min turnaround sit against 1.40 points of remaining travel (SRC-USPTO-10640812 Table 22). What is genuinely wrong is narrower and is now registered: this row names no method, no LOQ, no precision and no stopping rule (Q-067). A rule of the form 'change of no more than X points between successive samples at one hour or more spacing' is the SHAPE required; no value for X is written here, because none is published and inventing one would be a specification nobody measured. Note also that the demonstrated IPC is DENATURING - its oven runs at 80 C, above P-DS-TM - so it answers the denaturing dimension only (Q-044). And nothing terminates the reaction when the sample is drawn (R-022, C-014). The band brackets two different enzymes at two different temperatures, and whether a batch hold is even the right regime depends on the enzyme form (Q-050, Q-010)."
C-006,Ligase loading and enzyme form,Full-length purity,U01-LIG,P-LIG-ENZ-LOAD,,R-017,I-016;I-017,in_reaction,,Q-050,assumption,SRC-ALMAC-2023,"BLANK acceptance basis, deliberately. Stating a loading here would silently choose an enzyme form, and that choice is open (Q-050). This row exists because it SIZES the clearance problem two rows below: the one cited loading is a cell-free-extract loading, which puts a whole proteome plus endotoxin through purification rather than one enzyme (R-017). The loading is set by what is charged, so no instrument measures it directly - the two named instruments measure its consequence in the clarified pool."
C-007,Adenylylated dead-end (AppN) formation,Full-length purity,U01-LIG,,,R-010,I-011,gap,,Q-040,inference,SRC-ALMAC-2023,"NO CONTROL IS DEFINED, and this row says so rather than implying one. The proposed mitigation is to suppress AppN at the reaction by lowering ATP, but that pulls directly against the ATP a multi-ligation assembly needs (Q-040) - so the mitigation in R-010 is a direction, not a control. The instrument named can SEE the species; nothing in this register prevents it. The dead end differs from the product by about 329 Da, so filtration cannot remove it downstream."
C-008,Powder glass transition at the achieved residual moisture,Duplex integrity,U05-SD,P-DS-TG;P-DS-RESID-MOISTURE,EQ-TG,R-003,I-040;I-041,thermal_limit,,Q-039,inference,SRC-KEIL-2021,"The BINDING thermal limit on drying and storage, and the second anchor point as data. BLANK acceptance basis: the glass transition is a function of OUR matrix and OUR achieved moisture (EQ-TG, Gordon-Taylor), and neither is fixed - the excipient ratio is open (Q-021) and so is where the excipient enters (Q-038). The band that exists was measured on spray-dried trehalose siRNA polyplex formulations at their own moisture, not ours (Q-039). The pair of parameters travels together because a glass transition quoted without the moisture it was measured at is detached from its condition."
C-009,Spray-dryer outlet gas temperature,Duplex integrity,U05-SD,P-DRY-T-OUT;P-DS-TM,,R-003,I-035,thermal_limit,"Outlet gas temperature held below the duplex melting temperature, as a conservative proxy for the particle (P-DRY-T-OUT below P-DS-TM). The LOOSER of the two thermal limits.",Q-030,assumption,SRC-MALEK-2019,"The relation is the acceptance basis; the bound is not known. The melting band that exists is for a 21-mer with three modified positions in 100 mM NaCl, not our fully modified duplex, and the authors' per-position increment must not be extrapolated across all 21 positions (Q-030). The outlet setpoint itself is an assumption (Q-046). Tier 2 stated this limit as the duplex control; it is the looser one - the glass transition above binds first (Q-039)."
C-010,Final diafiltration matrix and excipient ratio,Duplex integrity,U03-UFDF,P-EXCIPIENT-RATIO;P-EXCIP-FRAC-PRE-EVAP,EQ-TG,R-005,I-023,matrix,Final diafiltration exchanges into a spray-dryable matrix at P-EXCIPIENT-RATIO. Assumption.,Q-021,assumption,SRC-SIRNA-LABELS,"The third leg of the duplex-integrity argument: the matrix sets the glass transition the row above is measured against (EQ-TG). Non-volatile buffer salts concentrate through evaporation into the powder unless the final exchange removes them (R-005). The ratio is a placeholder (Q-021) and where the excipient enters swings the evaporation duty severalfold (Q-038), so this row is a formulation choice standing in for a formulation decision nobody has made."
