envelope_id,param_id,range_kind,low,high,units,low_source_key,low_scale_system,low_drives_ref,low_drives,high_source_key,high_scale_system,high_drives_ref,high_drives,bracket_verdict,provenance,gap_ref,notes
ENV-001,P-BLOCK-PUR,evidence,93.6,95.6,percent,SRC-WO2020227618,"measured, 145.5 g isolation of a 5-mer, chromatography-free; MOE/DNA gapmer block with a 5'-DMTr handle, NOT a 5'-phosphorylated 2'-OMe/2'-F/PS block",C-001,"the drug-substance full-length ceiling, via EQ-PURITY over P-N-BLOCKS",SRC-WO2020227618,"measured, 258 g isolation, chromatography-free; same document, same chemistry, same purification regime as the low end",C-001,the same ceiling; the span is what the ceiling's uncertainty is,one_source_both_ends,fact,Q-057;Q-011,"BOTH MEASURED ENDPOINTS COME FROM ONE DOCUMENT, and the register discloses it rather than presenting two citations that are really one. What restricts the band is the SCALE and the absence of chromatography, not a selection among values: the 42 purity figures in that document span 68.2 to 99.3 percent, and there are exactly three chromatography-free hectogram 4-5mers in it, at 93.6, 94.8 and 95.6 percent. The earlier 89-96 band was worse than single-sourced - its low end was an 89.1 percent purity measured at 6.00 g, a bench datum presented inside a '145-258 g' band, a 25-40x scale misattribution. And its point value of 92 was not a purity at all but a YIELD: the source reads 'deoxy-TTACC 5mer (145.5 g, 57.8 mmol, 92.4% yield, 93.6% purity)'. WHY THE NEAREST-CHEMISTRY DATUM IS EXCLUDED, argued here rather than left to the question register: 81 percent was measured for a 6-mer 2'-OMe PS (SRC-KELLY-OPRD-2025), which is OUR backbone and sits 12.6 points below this band's low end. It is deliberately NOT merged in, because the two measurements differ on the axis this band is restricted BY - the material here is chromatography-free at hectogram scale, and mixing a different chemistry at a different scale into one interval would produce a band that neither document supports and that would read as an uncertainty when it is really a disagreement about which material is being described. THE COST OF THAT EXCLUSION IS PUBLISHED RATHER THAN HIDDEN: the ligation envelope page computes the drug-substance full-length ceiling at both values, because the choice moves it from comfortable to unusable and a reader is entitled to see that before trusting the number. Neither figure is a measurement of the material S01/S02 actually receive, which is Q-057 and is the reason this parameter's point value is an assumption rather than a fact. See ENV-002 for the independent first-principles reproduction of the same span, which is why this parameter is not single-sourced simpliciter."
ENV-002,P-BLOCK-PUR,argued,88.5,96.1,percent,SRC-US6087491,"first principles, not measured: a 3 percent per-cycle failure rate compounded over a 5-mer, 0.97^4; the per-cycle rate is from solid-phase synthesis generally, not from our chemistry",C-001,the pessimistic corner of the full-length ceiling,SRC-US6087491,"first principles: a 1 percent per-cycle failure rate compounded over a 5-mer, 0.99^4; same basis as the low end",C-001,the optimistic corner of the full-length ceiling,one_source_both_ends,inference,Q-057;Q-058,"THE SAME PARAMETER CARRYING A SECOND, DIFFERENT KIND OF CLAIM - which parameters.csv cannot express, because range_kind is one value per row. This band is ARGUED: a 1-3 percent per-cycle coupling failure compounded over four couplings gives 0.97^4 = 88.5 percent to 0.99^4 = 96.1 percent. It is wider than the measured band and it BRACKETS it, which is the useful fact: an independent first-principles route reproduces the same span, so P-BLOCK-PUR taken across ENV-001 AND THIS ROW is one document for both measurements PLUS an independent reproduction - not a single source simpliciter. THAT COMBINATION IS A PROPERTY OF THE PARAMETER ACROSS TWO ROWS, NOT OF THIS ROW, which is why bracket_verdict here reads one_source_both_ends: both ends of THIS band take their per-cycle rate from one document, and the column answers only the citation question. (An earlier version used a verdict that mixed the citation question with the measured-versus-argued one; the acceptance panel caught it mislabelling two rows, and range_kind already carries that second distinction.) Carried separately from ENV-001 rather than merged, because merging a measurement with an argument would produce a band whose kind nobody could name. It is NOT a design space and NOT a proven acceptable range: ICH admits first principles into a design space (Q11 s3.1.6) only once the input-to-attribute relationship is demonstrated and the scale relevance justified, and neither holds here."
ENV-003,P-N-BLOCKS,evidence,2,3,dimensionless,SRC-HONGENE-BROCHURE-2025,"kilogram-scale GMP, four-fragment inclisiran; independently supported by the Almac arm taken to 1 L at 1 mM (4 blockmers, 2 ligation sites) and by a four-fragment patisiran assembly",C-001,"the exponent in EQ-PURITY, and the number of junctions each needing ATP, a splint and a specification",SRC-ALMAC-2023,"0.1 mM in 96-WELL PLATES (the six-blockmer strategy) - a 10x lower concentration and a plate-versus-1 L crossing, so the high end is demonstrated at a hundredth of the scale of the low end",C-001,"the same exponent, plus one more junction of complexity",two_independent,fact,Q-058;Q-011,"TWO GENUINELY INDEPENDENT ENDPOINTS, and better sourced than the register claimed - 2 per strand has THREE separate supports across two documents, 3 per strand has one. The asymmetry is the point and it is published: the low end is demonstrated at kilogram GMP and at 1 L, the high end only in microplates at a tenth of the concentration. The point value of 3 remains THIS PROJECT'S assumed disconnection, not the demonstrated case. Direction check, re-done and it HOLDS but not for the register's stated reason: under EQ-SPOS combined with EQ-PURITY, the floor for an n-mer in k blocks is y^(n-k) times g^(k-1) where y is per-cycle yield and g is junction purity, and the sign flips at g = y. At any realistic ligation purity g is below y, so more blocks does mean a lower floor. What the model does not admit is that it freezes the per-block purity while varying the block count, when that purity is itself a function of block length (Q-058). The real opposing force is not purity against purity, it is purity-per-block against ligation yield and complexity."
ENV-004,P-LIG-TIME,evidence,16,24,h,SRC-USPTO-10640812,"5 mL recirculated packed bed, 1.5 mM per segment, 30 C; PHOSPHODIESTER 2'-MOE gapmer with a NAD-dependent ligase - not our phosphorothioate chemistry",U01-LIG,"batch occupancy, and with it the number of batches a campaign needs",SRC-NAR-2025,"one-pot at 4 C with T3 DNA ligase - a different enzyme 26 C colder than the low endpoint's, and NOT re-verified against its document this session",U01-LIG,"the same occupancy, at the pessimistic end",measurement_plus_unverifiable,assumption,Q-010;Q-050;Q-067,"THE WEAKEST BAND IN THE REGISTER AND IT IS LABELLED AS SUCH. The low endpoint improved during this slice: it was a single sampling time and is now backed by a curve, 88.10 percent at 14 h rising to 89.50 percent at 16 h, so the reaction is demonstrably plateauing rather than merely observed once. The high endpoint did not improve - its document was not re-read this session, so it is carried as unverifiable, which is why the verdict is measurement_plus_unverifiable rather than two_independent. The two ends remain different enzymes at temperatures 26 C apart, on different backbones, so the interval brackets WHEN TWO GROUPS HAPPENED TO LOOK rather than a window of equivalent operation. Point value stays BLANK. The 5-20 min immobilised packed-bed regime is deliberately excluded, and for a better reason than 'a different regime': a 5 mL column holding grams of immobilised enzyme is a fundamentally different enzyme-to-substrate ratio."
ENV-005,P-LIG-INACT-T,evidence,80,95,degC,SRC-CN119265174,"Example 7: IMMOBILISED crude RNA ligase, 50 uM substrate, 16 C/16 h reaction, terminated by 5 min at 80 C; bench, thio-modified double-stranded RNA",UT-HOTW,"the jacket heating duty and its grade, if this step is adopted at all",SRC-USPTO-10640812,"soluble engineered ligases at 20-25 uM segment, terminated by 5 or 10 min at 95 C; independently corroborated at 95 C/20 min by SRC-WO2025262452 on a different enzyme and assignee",UT-HOTW,"the same duty at its worst, and with it R-021's exposure",two_independent,assumption,Q-059;Q-050,"TWO INDEPENDENT DOCUMENTS, different assignees, different enzymes, different enzyme forms - so this band passes the two-endpoints test. It REPLACES a 45-75 C band that does not: that band's low end came from a document nobody could retrieve, and the figures offered for it are midpoints of residual-activity curves after a 60-minute hold rather than melting temperatures. WHAT THE BAND DOES NOT SAY IS AS IMPORTANT AS WHAT IT DOES. It is not a window of acceptable operation: it is the set of conditions four documents happened to choose, and none of them validated the kill against a residual-protein measurement, so not one is a demonstrated inactivation. The point value is BLANK because the step may not exist - the same document supplying the low end removes the immobilised enzyme centrifugally with no thermal hold in four other examples. Almac's 75 C/10-30 min is excluded as a DIFFERENT QUANTITY: it is the kinase kill, on single strands, before annealing, at 0.5 mM in plates. EVERY VALUE IN THIS BAND SITS ABOVE THE WHOLE OF P-DS-TM's measured 58.1-64.1 C, which is the quantitative content of R-021."
ENV-006,P-LIG-SEG-CONC,evidence,1.5,10,mM,SRC-USPTO-10640812,"a SUCCESS: 1.5 mM per segment reaching 89.50 percent product at 16 h, 5 mL recirculated packed bed, 30 C - but on an all-PHOSPHODIESTER 2'-MOE gapmer, NAD-dependent ligase, in 50 mM KH2PO4 with no Tris, no DTT and no ATP",U01-LIG,"batch volume, which is product mass over concentration - the single strongest lever on vessel size",SRC-ALMAC-2023,"a FAILURE, and qualitative: 10 mM blockmer where reactions were verbatim 'slow and failed to go completion', with no conversion, time, temperature, enzyme or scale stated",U01-LIG,nothing that can be sized - a failure point bounds the feasible region but does not size equipment,not_a_range,assumption,Q-064;Q-016;Q-066,"THIS ROW EXISTS TO REFUSE A RANGE, AND IT IS THE REASON THIS REGISTER HAS A bracket_verdict COLUMN. The two endpoints are different KINDS of claim - one a numerically demonstrated success, one an unquantified failure - so no width of interval between them is a window of operation. P-LIG-SEG-CONC therefore carries NO range in parameters.csv, and a guard enforces that a not_a_range verdict here cannot be written as a range there. Between 1.5 and 10 mM there is no datapoint of any kind: a 6.7x void, sitting exactly where a plant would want to operate. The low end also crosses backbone, cofactor and buffer simultaneously, and the same patent's phosphorothioate/MOE figures are 11.8 percent or less - so the best-converting concentration in the record is on a chemistry we do not have. WHAT WOULD FIX IT (Q-064): a conversion-versus-time curve at 3-6 mM on a fully modified phosphorothioate siRNA duplex, at a stated scale, from a source independent of Almac. Note the mechanism predicting the void is real even though its numbers do not transfer - substrate inhibition means raising concentration buys volumetric loading and pays it back in rate, which is why concentrating this reaction may not shrink the plant at all (Q-066)."
ENV-007,P-LIG-ENZ-LOAD,evidence,0.4,0.4,mg_mL_protein,SRC-CN119265174,"Example 12: purified ligase at 0.4 mg of PROTEIN per mL, 800 uM substrate, 16 C/16 h, then 85 C/15 min; bench, fully modified siRNA blocks",C-006,the residual-protein clearance duty this branch imposes on U02-CF,SRC-CN119265174,"Example 12: purified ligase at 0.4 mg of PROTEIN per mL, 800 uM substrate, 16 C/16 h, then 85 C/15 min; bench, fully modified siRNA blocks",I-016,the concentration the residual-protein assay would have to see below,single_point,fact,Q-050;Q-032;Q-060,"BRANCH: soluble / purified. The soluble branch's loading, in mg of purified protein per mL. This is the only branch whose loading is a protein mass concentration, which is also the only form in which a clearance duty can be computed from it. THREE ROWS, THREE UNITS, NO CONVERSION BETWEEN THEM - which is why P-LIG-ENZ-LOAD.value stays BLANK and why a single loading cannot be written even within one branch. Activity units are no help: one vendor states that a Weiss unit is 'equivalent to approximately 200 cohesive end units (CEU)', a 200x spread for the same enzyme, and neither assay uses our bond - SRC-PBCV1-2014 measures a ~100x drop in kcat between the all-DNA and RNA-splinted versions of one sequence. The bridge quantities that would reconcile all this (specific activity in U/mg, a ligase mass beside a unit figure, an immobilisation yield) are absent from every document read. Writing one number here would silently choose an enzyme form, and that is Q-050."
ENV-008,P-LIG-ENZ-LOAD,evidence,1,1,mg_mL_total_protein,SRC-ALMAC-2023,"SI Table S1, titled 'Reaction conditions for RNAL screening': 1 mg/mL of RNA-ligase/PNK CELL-FREE EXTRACT at 0.1 mM blockmer in 96-WELL PLATES - a tenth of the demonstrated titre, NOT the 1 L run",C-006,the residual-protein clearance duty this branch imposes on U02-CF,SRC-ALMAC-2023,"SI Table S1, titled 'Reaction conditions for RNAL screening': 1 mg/mL of RNA-ligase/PNK CELL-FREE EXTRACT at 0.1 mM blockmer in 96-WELL PLATES - a tenth of the demonstrated titre, NOT the 1 L run",I-016,the concentration the residual-protein assay would have to see below,single_point,fact,Q-050;Q-032;Q-060,"BRANCH: cell-free extract. The extract branch's loading, in mg of TOTAL protein per mL - a whole proteome, not one enzyme, so it sizes the clearance and endotoxin problem rather than the catalysis (R-017). Its scale is the plate screen; the paper reports no loading for the 1 mM / 1 L run at all. THREE ROWS, THREE UNITS, NO CONVERSION BETWEEN THEM - which is why P-LIG-ENZ-LOAD.value stays BLANK and why a single loading cannot be written even within one branch. Activity units are no help: one vendor states that a Weiss unit is 'equivalent to approximately 200 cohesive end units (CEU)', a 200x spread for the same enzyme, and neither assay uses our bond - SRC-PBCV1-2014 measures a ~100x drop in kcat between the all-DNA and RNA-splinted versions of one sequence. The bridge quantities that would reconcile all this (specific activity in U/mg, a ligase mass beside a unit figure, an immobilisation yield) are absent from every document read. Writing one number here would silently choose an enzyme form, and that is Q-050."
ENV-009,P-LIG-ENZ-LOAD,evidence,20,20,mg_carrier_solid,SRC-CN119265174,"Example 7: 20 mg of IMMOBILISED CRUDE ENZYME SOLID added to a 50 uM substrate reaction - a mass of wet carrier plus bound protein, with no immobilisation yield stated, so the protein content is unknown",C-006,the residual-protein clearance duty this branch imposes on U02-CF,SRC-CN119265174,"Example 7: 20 mg of IMMOBILISED CRUDE ENZYME SOLID added to a 50 uM substrate reaction - a mass of wet carrier plus bound protein, with no immobilisation yield stated, so the protein content is unknown",I-016,the concentration the residual-protein assay would have to see below,single_point,fact,Q-050;Q-032;Q-060,"BRANCH: immobilised. The immobilised branch's loading, in mg of carrier solid. It does NOT convert to either row above: no immobilisation yield (bound versus offered protein) is given anywhere, so the protein mass on the beads cannot be recovered from it. This is the arithmetic reason the branches cannot be compared. THREE ROWS, THREE UNITS, NO CONVERSION BETWEEN THEM - which is why P-LIG-ENZ-LOAD.value stays BLANK and why a single loading cannot be written even within one branch. Activity units are no help: one vendor states that a Weiss unit is 'equivalent to approximately 200 cohesive end units (CEU)', a 200x spread for the same enzyme, and neither assay uses our bond - SRC-PBCV1-2014 measures a ~100x drop in kcat between the all-DNA and RNA-splinted versions of one sequence. The bridge quantities that would reconcile all this (specific activity in U/mg, a ligase mass beside a unit figure, an immobilisation yield) are absent from every document read. Writing one number here would silently choose an enzyme form, and that is Q-050."
ENV-010,P-DS-TM,evidence,58.1,64.1,degC,SRC-MALEK-2019,"Table 1, unmodified parent 21-mer duplex, bench UV thermal denaturation in 100 mM NaCl - not a modified duplex and not our sequence",C-009,the looser of the two thermal limits on drying; and the floor R-021 is measured against,SRC-MALEK-2019,"Table 1 of the SAME study, with 2'-F at THREE guide-strand positions - three positions, not the 21 of a fully modified duplex",C-009,the same limit at its optimistic end,one_source_both_ends,fact,Q-030,"BOTH ENDS ARE TWO ROWS OF ONE TABLE IN ONE STUDY - two modification patterns, not two independent measurements - and the register already flagged this in prose; it is now a machine-readable verdict. The authors' +1 to +2 C per modified position was measured over three positions and must not be extrapolated across all 21, which is why the point value is blank (Q-030). This band is load-bearing in the wrong direction: every documented enzyme inactivation condition (ENV-005, 80-95 C) sits above ALL of it."
