method_id,name,technique,purpose,cqa,phase,validation_status,ich_q14_lifecycle_stage,confidence,notes
AM-001,Identity by mass,LC-MS,Confirm intact mass of each strand and duplex,CQA-01,Release,TBD,Design,SEED,
AM-002,Sequence confirmation,Nuclease digestion with MS mapping,Confirm sequence,CQA-01,Release,TBD,Design,SEED,Consider orthogonal sequencing
AM-003,Purity denaturing,IP-RP-UV,Full length and related substances,CQA-02 to CQA-07,Release and IPC,TBD,Design,SEED,Also the at-line pooling method
AM-004,Purity orthogonal,AEX,Charge based related substances,CQA-02 to CQA-05,Release,TBD,Design,SEED,
AM-005,Purity orthogonal,Capillary gel electrophoresis,Length based related substances,CQA-03 CQA-04,Release,TBD,Design,SEED,
AM-006,Duplex content,Non denaturing AEX or SEC or CGE,Percent annealed duplex,CQA-08,Release and IPC,TBD,Design,SEED,Method development is non trivial
AM-007,Strand ratio,Denaturing IP-RP or AEX,Sense to antisense ratio,CQA-09,Release and IPC,TBD,Design,SEED,
AM-008,Thermal melting,UV melting,Duplex identity and stability,CQA-08,Characterisation,TBD,Design,SEED,
AM-009,Assay content,UV 260 with extinction coefficient,Oligonucleotide content,CQA-10,Release and IPC,TBD,Design,SEED,Extinction coefficient determination is a known error source
AM-010,Water content,Karl Fischer,Residual moisture,CQA-11,Release,TBD,Design,SEED,
AM-011,Counterion,Ion chromatography or ICP,Sodium content,CQA-12,Release,TBD,Design,SEED,
AM-012,Residual solvents,Headspace GC,ICH Q3C solvents,CQA-13,Release and IPC,TBD,Design,SEED,
AM-013,Elemental impurities,ICP-MS,ICH Q3D elements,CQA-14,Release or risk based,TBD,Design,SEED,Risk based approach may avoid routine testing
AM-014,Bioburden,Compendial,Microbial count,CQA-15,Release and IPC,TBD,Design,SEED,
AM-015,Bacterial endotoxin,LAL or recombinant factor C,Endotoxin,CQA-16,Release,TBD,Design,SEED,Recombinant factor C now accepted in major pharmacopoeias
AM-016,Residual splint,Hybridisation or qPCR,Splint clearance,CQA-17,Release,TBD,Design,SEED,Ligation route only
AM-017,Residual ligase,ELISA or total protein,Protein clearance,CQA-18,Release,TBD,Design,SEED,Ligation route only
AM-018,Adenylylated species,IP-RP-MS,AppRNA impurity,CQA-19,Release,TBD,Design,SEED,Ligation route only. Resolution from product is the challenge
AM-019,Appearance and pH,Visual and potentiometric,General attributes,CQA-20,Release,TBD,Design,SEED,
