need_id,need,category,anchor_source_key,anchor_clause,anchor_strength,disposition,point_argument,satisfied_by,owner,provenance,gap_ref,notes
IN-001,"The critical process parameters of the ligation step, and a range for each",process_description,SRC-ICH-Q11,section 4 and s3.2,generic_anchor,bracketed_evidence,,ENV-004;ENV-005;P-LIG-T;P-LIG-TIME;P-LIG-INACT-T,process,inference,Q-010;Q-050;Q-062,"GENERIC ANCHOR. The CATEGORY of information is demanded by a clause that can be quoted; the ENZYME-SPECIFIC instantiation below it is this project's inference. The measure of the gap is blunt: 'enzym' and 'biocatal' each return ZERO hits across the whole of ICH Q11 (30 pages) and ICH Q7 (49 pages), and the only oligonucleotide-specific guideline of any status expressly declines the route - EMA oligo s4.2.2, verbatim, 'alternative synthesis methods (e.g., liquid synthesis, enzymatic synthesis) could be used. However, at the time the guideline was written these methods were considered too premature to be included.' THAT DOCUMENT IS A DRAFT AND NOT IN FORCE: consultation closed 31 January 2025 and it has not been finalised (SRC-EMA-OLIGO-2024, and this register's own source row says so). An earlier version of this note called it in-force, which was wrong and is corrected - a draft anchors nothing, and treating one as a requirement is the opposite of the caution this column exists to enforce (Q-070). So no regulator has specified an enzymatic ligation step, and this row must not read as though one had. What this project supplies is a set of evidence bands with each endpoint separately cited and scale-tagged (envelopes.csv), plus an explicit refusal to band two variables whose endpoints do not support one. It is NOT a design space and not a proven acceptable range."
IN-002,"A statement of what KIND of range each band is, and of what is not being claimed",regulatory_framing,SRC-ICH-Q8R2,s2.4.5 and Annex s4 glossary,direct,point_justified,"A determinate answer exists and does not need a range, because the answer is a VOCABULARY rather than a measurement. gen/dataio.py declares five range kinds; the two that are ICH terms of art - proven_acceptable_range and design_space - are deliberately EMPTY and no row in this repository claims either. That emptiness is the justified point: nothing here has been 'demonstrated to provide assurance of quality' and nothing was characterised by us, so claiming either term would be an over-claim of exactly the kind Q-053 guards against in the instrument register. SRC-ICH-QA-R5 chapter 2.1 shows that ICH contemplates different aspects of one process being described by different kinds of range, verbatim: 'The applicant may elect to use proven acceptable ranges or design space for different aspects of the manufacturing process.' BE PRECISE ABOUT WHAT THAT DOES AND DOES NOT LICENSE, because the first version of this row overstated it: that sentence answers whether a set of proven acceptable ranges is itself a design space, and it licenses electing between TWO ICH constructs. It says nothing about adding three of our own. The three project-coined kinds - evidence, argued, design_intent - are OURS, are labelled as ours in gen/dataio.py, and are defensible on their own terms precisely because they make no regulatory claim; they are not licensed by that clause and are not presented as though they were.",ENV-013;ENV-012,quality,fact,,"DIRECT ANCHOR, and the only row in this checklist where ICH speaks to exactly the thing being done. s2.4.5 verbatim: 'A combination of proven acceptable ranges does not constitute a design space.' That sentence is why the stack of bands in this repository is never presented as one. The glossary supplies the other half, verbatim: a proven acceptable range is characterised 'while keeping other parameters constant', i.e. univariate BY DEFINITION - which is also why couplings.csv exists, since a set of univariate bands cannot express a corner that two parameters make unreachable together."
IN-003,The ligation reaction temperature and its justification,process_parameter,SRC-ICH-Q7,s18.33,generic_anchor,not_knowable,,P-LIG-T;CPL-004,process,inference,Q-050;Q-059;Q-062,"GENERIC ANCHOR. The CATEGORY of information is demanded by a clause that can be quoted; the ENZYME-SPECIFIC instantiation below it is this project's inference. The measure of the gap is blunt: 'enzym' and 'biocatal' each return ZERO hits across the whole of ICH Q11 (30 pages) and ICH Q7 (49 pages), and the only oligonucleotide-specific guideline of any status expressly declines the route - EMA oligo s4.2.2, verbatim, 'alternative synthesis methods (e.g., liquid synthesis, enzymatic synthesis) could be used. However, at the time the guideline was written these methods were considered too premature to be included.' THAT DOCUMENT IS A DRAFT AND NOT IN FORCE: consultation closed 31 January 2025 and it has not been finalised (SRC-EMA-OLIGO-2024, and this register's own source row says so). An earlier version of this note called it in-force, which was wrong and is corrected - a draft anchors nothing, and treating one as a requirement is the opposite of the caution this column exists to enforce (Q-070). So no regulator has specified an enzymatic ligation step, and this row must not read as though one had. NOT KNOWABLE FROM THE PUBLIC RECORD, and the reason is sharper than absence: 25 C, the value this register carried, is a temperature at which two of three exemplified chemistries produced NO full-length product. No range is written because the retrieved temperatures are a mix of successes and failures across three enzymes, which is not a band. The upper bound is set by enzyme stability rather than by the duplex (CPL-004) and that figure is unregistered because its document could not be retrieved. Note s18.33 is itself scoped by its own heading to cell-culture and fermentation APIs, which ours is not - Q-062."
IN-004,The ligation hold time or the endpoint criterion that replaces it,process_parameter,SRC-ICH-Q11,section 4,generic_anchor,bracketed_evidence,,ENV-004;C-005;P-LIG-TIME,process,assumption,Q-010;Q-067,"GENERIC ANCHOR. The CATEGORY of information is demanded by a clause that can be quoted; the ENZYME-SPECIFIC instantiation below it is this project's inference. The measure of the gap is blunt: 'enzym' and 'biocatal' each return ZERO hits across the whole of ICH Q11 (30 pages) and ICH Q7 (49 pages), and the only oligonucleotide-specific guideline of any status expressly declines the route - EMA oligo s4.2.2, verbatim, 'alternative synthesis methods (e.g., liquid synthesis, enzymatic synthesis) could be used. However, at the time the guideline was written these methods were considered too premature to be included.' THAT DOCUMENT IS A DRAFT AND NOT IN FORCE: consultation closed 31 January 2025 and it has not been finalised (SRC-EMA-OLIGO-2024, and this register's own source row says so). An earlier version of this note called it in-force, which was wrong and is corrected - a draft anchors nothing, and treating one as a requirement is the opposite of the caution this column exists to enforce (Q-070). So no regulator has specified an enzymatic ligation step, and this row must not read as though one had. Supplied as a band, and the band is labelled as the weakest in the register: one verified measurement plus one endpoint whose document was not re-read, on enzymes 26 C apart and on different backbones. The CONTROL is stronger than the parameter - the reaction is held to a conversion endpoint rather than to a clock, and that endpoint is demonstrably measurable on our exact buffer in 12.5 minutes. What is missing is the metrology around it: no limit of quantitation, no precision, no stopping rule (Q-067)."
IN-005,"The reaction concentration, which sizes the reactor",process_parameter,SRC-ICH-Q11,section 4,generic_anchor,not_knowable,,ENV-006;P-LIG-SEG-CONC;P-CONC-LIG;CPL-003,process,assumption,Q-064;Q-016;Q-066,"GENERIC ANCHOR. The CATEGORY of information is demanded by a clause that can be quoted; the ENZYME-SPECIFIC instantiation below it is this project's inference. The measure of the gap is blunt: 'enzym' and 'biocatal' each return ZERO hits across the whole of ICH Q11 (30 pages) and ICH Q7 (49 pages), and the only oligonucleotide-specific guideline of any status expressly declines the route - EMA oligo s4.2.2, verbatim, 'alternative synthesis methods (e.g., liquid synthesis, enzymatic synthesis) could be used. However, at the time the guideline was written these methods were considered too premature to be included.' THAT DOCUMENT IS A DRAFT AND NOT IN FORCE: consultation closed 31 January 2025 and it has not been finalised (SRC-EMA-OLIGO-2024, and this register's own source row says so). An earlier version of this note called it in-force, which was wrong and is corrected - a draft anchors nothing, and treating one as a requirement is the opposite of the caution this column exists to enforce (Q-070). So no regulator has specified an enzymatic ligation step, and this row must not read as though one had. NOT KNOWABLE, and this is the row where refusing to invent costs the most, because concentration is the single strongest lever on vessel size. The apparent 1.5-10 mM bracket is a SUCCESS point and a FAILURE point with a 6.7x void between them, so it is not a range at any width (ENV-006). The product-side figure the balance reads, P-CONC-LIG, is an upper BOUND on titre rather than a titre - the paper it comes from contains exactly one percent sign, in '100% v/v methanol' - so the vessel it implies is a floor."
IN-006,"The cofactor charge: ATP, and the divalent cation it competes with",process_parameter,SRC-ICH-Q11,section 4,generic_anchor,not_knowable,,P-LIG-ATP;CPL-001;CPL-002;BUF-LIG,process,assumption,Q-040,"GENERIC ANCHOR. The CATEGORY of information is demanded by a clause that can be quoted; the ENZYME-SPECIFIC instantiation below it is this project's inference. The measure of the gap is blunt: 'enzym' and 'biocatal' each return ZERO hits across the whole of ICH Q11 (30 pages) and ICH Q7 (49 pages), and the only oligonucleotide-specific guideline of any status expressly declines the route - EMA oligo s4.2.2, verbatim, 'alternative synthesis methods (e.g., liquid synthesis, enzymatic synthesis) could be used. However, at the time the guideline was written these methods were considered too premature to be included.' THAT DOCUMENT IS A DRAFT AND NOT IN FORCE: consultation closed 31 January 2025 and it has not been finalised (SRC-EMA-OLIGO-2024, and this register's own source row says so). An earlier version of this note called it in-force, which was wrong and is corrected - a draft anchors nothing, and treating one as a requirement is the opposite of the caution this column exists to enforce (Q-070). So no regulator has specified an enzymatic ligation step, and this row must not read as though one had. NOT KNOWABLE as a setpoint, but the shape of the constraint is now right where it was previously overstated. The opposition between the ATP a multi-junction assembly needs and the ATP that suppresses the adenylylated dead end is real (CPL-001); the claim that the feasible window is EMPTY is not, and is withdrawn - the document cited for the high bound teaches sub-stoichiometric ATP with regeneration in the same text. The second coupling is the one that reaches the plant: ATP chelates magnesium about one for one, so the charge propagates into the diafiltration load through the species that does not diafilter (CPL-002, R-014)."
IN-007,"The identity, form and origin of the enzyme used in the process",materials,SRC-EMA-CHEM-AS-2026,s4.2.3,direct,not_knowable,,P-LIG-ENZ-LOAD;ENV-007;ENV-008;ENV-009,process,inference,Q-050;Q-063,"DIRECT ANCHOR - the only directly worded enzyme requirement found in any in-force guideline, and it is three weeks old. EMA/CHMP/QWP/49484/2026 s4.2.3, verbatim: 'For enzymes used in the process, the origin (recombinant, animal or herbal origin) should be indicated and the possibility of specific impurities from the reaction to the final substance should be discussed.' NOT KNOWABLE HERE because the enzyme is not chosen: form is open between purified, cell-free extract and immobilised (Q-050), and the three candidate loadings are in units that do not convert into one another (ENV-007 to ENV-009). You cannot state the origin of an enzyme you have not selected. SCOPE CAVEAT ON THE ANCHOR ITSELF, which is why the direct anchor is not the end of the argument: that guideline's s2 excludes biological and biotechnological products and the word 'oligonucleotide' appears zero times in it, so its reach over an enzymatically assembled synthetic oligonucleotide is arguable (Q-063)."
IN-008,A discussion of impurities the enzymatic reaction itself introduces,impurities,SRC-EMA-CHEM-AS-2026,s4.2.3,direct,bracketed_argument,,IMP-APPN;IMP-LIGASE;C-007;R-010,quality,inference,Q-040;Q-063,"DIRECT ANCHOR, same clause as IN-007: 'the possibility of specific impurities from the reaction to the final substance should be discussed.' PARTLY ANSWERED, AND BY ARGUMENT RATHER THAN MEASUREMENT. The reaction-specific impurity is identified in exactly this chemistry - the adenylylated dead end, observed as the [+AMP] by-product - and the argument that it cannot be cleared downstream is a sound one from its mass difference of about 329 Da. What cannot be supplied is a QUANTITY: the species can be detected and identified but not quantified against a specification, because no reference standard exists and the deconvolution runs in a matrix supplying 100 mM potassium and 10 mM magnesium straight into the adduct envelope. One correction worth recording: mass RESOLUTION is not the barrier - 329 Da on a 14 kDa duplex needs a resolving power of about 43, which is trivial - so any claim that the instrument cannot see it should be struck, while C-007's statement that no control is defined must not be softened."
IN-009,An acceptance criterion for residual enzyme protein in the drug substance,specification,SRC-ICH-Q6B,s6.2.1(c),generic_anchor,not_knowable,,P-ENZ-CLEARANCE-LRV;IMP-LIGASE;C-011;C-012,quality,inference,Q-060;Q-032,"GENERIC ANCHOR of a particular kind: the clause is precise and quotable but it is written for products that ARE proteins. s6.2.1(c) verbatim: 'Downstream-derived impurities include, but are not limited to, enzymes, chemical and biochemical processing reagents ..., inorganic salts ..., solvents, carriers, ligands ..., and other leachables.' So ICH's taxonomy does classify a residual ligase - and an immobilised carrier's leachate - as process-related impurities, which is why the immobilised branch changes the species list rather than escaping the duty. NOT KNOWABLE: no limit exists. The EU oligonucleotide guideline omits protein entirely ('protein' occurs zero times in all 27 pages) and the thresholds it offers are small-molecule routes, leaving only its own verbatim fallback, 'be toxicologically qualified'. The frequently quoted USP '<1 to 100 ng/mg' band is REFUSED here: it is a protein impurity in a protein product, and ours is the inverted case (Q-060)."
IN-010,A demonstration that the process clears the residual enzyme,clearance,SRC-ICH-Q6B,s6.2.1(a),generic_anchor,not_knowable,,P-ENZ-CLEARANCE-LRV;C-011;C-012;R-002,process,inference,Q-032;Q-060;Q-050,"READ THE ANCHOR PRECISELY, BECAUSE THE OBVIOUS READING IS WRONG AND WOULD FLATTER US. s6.2.1(a) does license a substitution, verbatim: 'Clearance studies, which could include spiking experiments at the laboratory scale, to demonstrate the removal of cell substrate-derived impurities such as nucleic acids and host cell proteins may sometimes be used to eliminate the need for establishing acceptance criteria for these impurities.' But it sits in sub-paragraph (a), CELL SUBSTRATE-DERIVED, and a deliberately added ligase is a (c) impurity; sub-paragraph (c) carries no equivalent licence. So the argument shape a chromatography-free route needs is an ARGUMENT BY ANALOGY THIS PROJECT WOULD HAVE TO DEFEND, not an ICH permission, and it is written in exactly those terms. NOT KNOWABLE: no log-reduction figure exists for either branch. Worse, size-based ultrafiltration cannot supply one - the enzymes are 2.0 to 5.4 times the product mass against a rule of thumb demanding tenfold, so a membrane chosen to retain the duplex retains the ligase harder. That is 0 log, and it is the point at which the filtration-only thesis needs a different mechanism: proteolysis first would MANUFACTURE the mass gap, at the cost of making the protease the next residual protein."
