risk_id,unit_op,description,cause,effect,cqa_affected,severity,likelihood,detectability,current_control,proposed_mitigation,owner,status,confidence
RSK-010,UO-01,Incomplete deprotection,Insufficient time or temperature or reagent,Protected species not resolvable downstream,CQA-07,High,Medium,Good,At-line LC-MS before release to UO-02,Define endpoint by measurement not fixed time,TBD,Open,SEED
RSK-011,UO-01,Depurination from aggressive conditions,Excess temperature or time,Abasic impurity,CQA-06,High,Medium,Good,Parameter control,DOE to find the optimum rather than the maximum,TBD,Open,SEED
RSK-012,UO-01,Amine release to workplace,Vessel or vent failure,Operator exposure,None,High,Low,Good,Scrubbed vent and local exhaust,Gas detection and interlock,TBD,Open,SEED
RSK-020,UO-02,Filter blockage,Undersized filter area,Batch delay and product loss,None,Medium,Medium,Good,Differential pressure monitoring,Vmax sizing trials with representative crude,TBD,Open,SEED
RSK-021,UO-02,Product hold up loss in filter cake,Inadequate flush,Yield loss,None,Medium,High,Good,UV on flush,Optimise flush volume against dilution penalty,TBD,Open,SEED
RSK-030,UO-03,Membrane fouling,High concentration or feed composition,Flux decline and extended processing,None,Medium,Medium,Good,TMP and flux monitoring,Membrane screening study,TBD,Open,SEED
RSK-031,UO-03,Product loss through membrane,Cutoff too large for a 20mer,Yield loss,None,High,Medium,Good,Permeate UV,Confirm retention experimentally not from nominal rating,TBD,Open,SEED
RSK-032,UO-03,Incomplete solvent or amine removal,Insufficient diavolumes,Poor binding at UO-04,CQA-02,Medium,Medium,Good,Conductivity endpoint,Define diavolumes from clearance data,TBD,Open,SEED
RSK-040,UO-04,Resolution loss at commercial scale,Packing quality and skid dispersion,Purity failure or yield loss,CQA-02 to CQA-05,HIGH,Medium,Moderate,Column performance testing,Qualified scale down model and early large column trials,TBD,Open,SEED
RSK-041,UO-04,Column packing failure,Packing method at large diameter,Resolution loss and rework,CQA-02,High,Medium,Good,HETP and asymmetry,Packing qualification protocol and repack criteria,TBD,Open,SEED
RSK-042,UO-04,Resin fouling and short lifetime,Crude load composition,Cost and resolution loss,CQA-02,Medium,Medium,Good,Cycle tracking,Resin lifetime study under worst case,TBD,Open,SEED
RSK-043,UO-04,Pooling decision error,UV cannot distinguish n-1 from product,Purity failure or yield loss,CQA-02 CQA-03,HIGH,Medium,Poor with UV only,UV based pooling,At line UPLC for purity based pooling,TBD,Open,SEED
RSK-044,UO-04,Carryover between products,Shared resin in multi product facility,Cross contamination,CQA-01,High,Low,Moderate,Cleaning,Dedicate resin or validate carryover. See OQ-009,TBD,Open,SEED
RSK-050,UO-05,Resolution loss at commercial scale,Scale effects,Purity failure,CQA-02 to CQA-05,HIGH,Medium,Moderate,Column performance testing,Same as RSK-040,TBD,Open,SEED
RSK-051,UO-05,Temperature non uniformity across bed,Large diameter column,Resolution loss,CQA-02,High,Medium,Poor,Inlet temperature control,Multi point bed temperature measurement,TBD,Open,SEED
RSK-052,UO-05,Ion pair modifier supply or regulatory restriction,Fluorochemical restrictions and concentrated supply,Process cannot run as designed,CQA-02,HIGH,Medium,Good,None,Secure long term supply or design recovery or qualify alternative separation,TBD,Open,SEED
RSK-053,UO-05,Solvent recovery failure,Still capacity or purity,Operating cost and environmental exceedance,None,Medium,Medium,Good,Recovered solvent testing,Specify recovery duty in concept design,TBD,Open,SEED
RSK-054,UO-05,Stationary phase lifetime shortfall,Cycling and cleaning,Cost of goods increase,CQA-02,Medium,Medium,Good,Cycle tracking,Lifetime study,TBD,Open,SEED
RSK-060,UO-06,Incomplete detritylation,Insufficient acid exposure,DMT on species in product,CQA-02,High,Low,Good,At line IP-RP and trityl cation absorbance,Endpoint by measurement,TBD,Open,SEED
RSK-061,UO-06,Depurination excursion,Excess acid exposure,Abasic impurity,CQA-06,HIGH,Medium,Good,pH and time control,Fast quench and mixing study,TBD,Open,SEED
RSK-062,UO-06,Local pH excursion from poor mixing,Blend time at scale,Localised depurination,CQA-06,High,Medium,Poor,Single point pH,Mixing study and multi point pH,TBD,Open,SEED
RSK-070,UO-07,Incomplete ion pair reagent removal,Insufficient diavolumes,Residual reagent in DS,CQA-13,High,Low,Good,Headspace GC,Clearance study to set diavolumes,TBD,Open,SEED
RSK-071,UO-07,Concentration measurement error,Off line dilution error,Strand ratio deviation at UO-08,CQA-09,HIGH,Medium,Poor,Off line UV,In line variable pathlength UV,TBD,Open,SEED
RSK-072,UO-07,Membrane fouling,Feed composition,Extended processing,None,Medium,Medium,Good,TMP monitoring,Membrane screening,TBD,Open,SEED
RSK-080,UO-08,Strand ratio deviation,Concentration assay error or charge error,Free single strand in DS,CQA-09,HIGH,Medium,Good,At line strand ratio,Improve UO-07 concentration accuracy and charge accuracy,TBD,Open,SEED
RSK-081,UO-08,Incomplete annealing,Ramp or ionic strength wrong,Low duplex content,CQA-08,HIGH,Medium,Good,At line duplex assay,Ramp development and confirmation assay,TBD,Open,SEED
RSK-082,UO-08,Temperature non uniformity in vessel,Heat transfer at scale,Non uniform annealing,CQA-08,High,Medium,Poor,Single probe,Multi point temperature and mixing study,TBD,Open,SEED
RSK-083,UO-08,Error propagated from UO-07,See RSK-071,Strand ratio deviation,CQA-09,High,Medium,Moderate,None,Address at UO-07,TBD,Open,SEED
RSK-090,UO-09,Duplex dissociation during diafiltration,Low ionic strength or high temperature,Loss of duplex content,CQA-08,High,Medium,Good,At line duplex assay,Verify buffer against duplex stability,TBD,Open,SEED
RSK-091,UO-09,Final concentration out of range,Measurement or control error,Specification failure,CQA-10,Medium,Medium,Good,In line UV,In line concentration control,TBD,Open,SEED
RSK-092,UO-09,Bioburden excursion during hold,Extended hold time,Microbial failure,CQA-15,High,Medium,Good,Hold time limits and sampling,Validated hold times,TBD,Open,SEED
