source_key,citation,url,reachability,access,scale_system,notes,verified,clauses_read
SRC-ALMAC-2023,"Almac/Alnylam, enzymatic ligation of fully modified siRNA, ACS Chem. Biol. 2023, 18(10):2183",https://pubs.acs.org/doi/10.1021/acschembio.3c00071,full text (main) - the typeset article is served openly by the corresponding author's organisation at almacgroup.com/knowledge/wp-content/uploads/sites/10/2023/06/Convergent-Biocatalytic-Mediated-Synthesis-of-siRNA.pdf; SI retrieved via ACS figshare,full-text-read,bench to 1 L jacketed vessel; fully modified siRNA (PS + GalNAc),"Strongest real modified-siRNA ligation source. Reports NO purity numbers (qualitative 'high purity' only). SI gives ATP 2 mM and RNAL cell-free extract 1 mg/mL. 10 mM blockmer reactions were slow and failed to go to completion. Enzyme is a screened RNA ligase / PNK cell-free extract panel, not specifically 'T4 PNK'. | 2026-09-18 RE-READ AND UPGRADED: the earlier note that it 'reports NO purity numbers' understates it. It gives the working titre, the vessel scale and a hard upper limit. VERBATIM: 'Final reaction development achieved synthesis of the target siRNA at 1 mM concentration using either crude or purified blockmers combined with PNK phosphorylation of 1.2 and 1.3 (5' OH) in jacketed 1 L batch vessels.' VERBATIM: 'Ligation with starting blockmer concentrations as high as 10 mM was observed; however, reactions were slow and failed to go completion, indicating a target for further enzyme or reaction engineering.' VERBATIM (telescoped kinase step): 'Reaction parameter investigation allowed for final phosphorylation at 5 mM blockmer concentration, with a one-pot phosphorylation of 1.2 and 1.3 (5'OH) with PNK-101.' VERBATIM (Table 1, an adenylylated dead-end observed in THIS chemistry): '2.3_2.4[+AMP]'. Authors are Paul, Gray, Caswell, Brooks, Ye, Moody, Radinov, Nechev. 1 mM of a ~14-15 kDa duplex is roughly 14-15 g/L (INFERENCE, arithmetic ours).",2026-09-17 checked against source; SI read | 2026-09-18 re-read in full; the two titre sentences and the [+AMP] table entry checked character-for-character against the PDF text layer by the lead session,
SRC-CODEXIS,"Codexis, ligation-based siRNA manufacturing (company blog)",https://www.codexis.com/blogs/accelerating-scalable-and-sustainable-sirna-manufacturing-with-ligation-based-synthesis/,reachable,web-page-read,vendor claim; modified siRNA,"Not peer reviewed. >95% conversion; substrate loads up to 100 g/L; >98% post-purification purity; ligase immobilisation for enzyme clearance. No titre figure appears on the page. | 2026-09-18 DOWN-WEIGHTED. The '>95% conversion / up to 100 g/L / >98% purity' trio is traceable ONLY to this marketing blog. It is absent from the company's own press release of 14 Nov 2024 (SRC-CODEXIS-PR-2024), whose only numeric claim is for a different, non-ligation chemistry, and absent from all four of the company's own ligation patent families (SRC-CODEXIS-PATENTS), which report only relative fold-improvement conversions. It is also in tension with the two measured datapoints that do exist: 1 mM working titre with 10 mM failing to go to completion (SRC-ALMAC-2023) and 19-43% overall yields (SRC-HONGENE-BROCHURE-2025). Carry as an unverified vendor claim with an unstated basis - per-ligation or overall, substrate or product, nominal or assayed, none of it is specified.",2026-09-17 checked against source; the '30 g/L titer' previously cited here does NOT appear on the page | 2026-09-18 cross-checked against the company press release and all four of its ligation patent families,
SRC-HONGENE,"Hongene, chemoenzymatic synthesis of siRNA and sgRNA (blog)",https://www.hongene.com/resources/blogs/chemoenzymatic-synthesis-of-sirna-and-sgrna-using-ligation-technology/,reachable,web-page-read,vendor,Vendor. siRNA made by sticky-end ligation of four partially overlapping fragments forming two duplexes; junctions joined by RNA ligase. sgRNA splints digested with DNase I. The page does NOT state that the complementary product strand acts as the splint - that is our inference.,2026-09-17 checked against source,
SRC-PBCV1-2014,"Lohman, Zhang, Zhelkovsky, Cantor, Evans, Efficient DNA ligation in DNA-RNA hybrid helices by Chlorella virus DNA ligase, NAR 2014, 42(3):1831-1844",https://pmc.ncbi.nlm.nih.gov/articles/PMC3919565/,full text,full-text-read,"bench; RNA-splinted DNA, unmodified — does NOT transfer","Abortive adenylylation (AppDNA), ATP dependence, kinetics. T4 DNA ligase gave exclusively AppDNA on RNA-splinted substrate. Paper does not use the trade name 'SplintR' and gives no Da mass difference. | ERRATUM EXISTS AND HAS BEEN READ: Nucleic Acids Res. 2014, 42(18):11846 (PMC4191391). VERBATIM: 'The authors would like to apologize for an error in the caption of Figure 5 of their recent manuscript. The data is correctly labeled in the published figure image, but the caption has switched the reaction conditions for panels (B) and (C). The corrected figure caption appears below. This correction does not influence the validity of the results and conclusions of this article.' It does NOT touch the ATP threshold. THE ATP THRESHOLD ITSELF, VERBATIM: 'Abortive adenylylation was suppressed at low ATP concentrations (<100 uM) and pH >8, leading to increased product yields.' This is in direct tension with the 2 mM ATP used in the modified-siRNA route (SRC-ALMAC-2023) and the 'at least 4 mM ATP' required for a four-ligation assembly (SRC-WO2025262452). Scope: bench, UNMODIFIED DNA donors on RNA splints, DNA ligases - the mechanism transfers, the number does not.",2026-09-17 checked against source; author list corrected (no 'Bhagwat') | 2026-09-18 erratum PMC4191391 located and read by the lead session,
SRC-ZHOU-2022,"Zhou, Kiesman, Yan, Jiang, Antia, Yang, Fillon, Xiao, Shi (Biogen), Development of Kilogram-Scale Convergent Liquid-Phase Synthesis of Oligonucleotides, J. Org. Chem. 2022, 87(4):2087-2110",https://pubs.acs.org/doi/10.1021/acs.joc.1c01756,"paywalled - verified genuinely closed, not assumed: Unpaywall is_oa false with no repository copy, OpenAlex any_repository_has_fulltext false, Semantic Scholar isOpenAccess false, CORE no result, Europe PMC record only (PMID 34807599). ACS returns 403 to automated clients including the Supporting Information path, which a human browser would probably obtain. Full abstract retrieved from PubMed via NCBI E-utilities",abstract-only,0.3-3 kg/batch; modified gapmer,"Fragment purity 90-95%, yield 62-76%; 0.3-3 kg/batch; 18-mer MOE/DNA gapmer with mixed PS-PO backbone; blocks are 4-5 nt. THE 90-95% AND 62-76% FIGURES ARE NOW CONFIRMED CORRECT, quoted verbatim from the open-access review SRC-NAR-2025 which reads this paper: 'resulting in fragment yields of 62%-76% and purities of 90%-95%'. TWO CORRECTIONS TO THE OLD ENTRY. (1) Page range is 2087-2110, not 2087; full author list Zhou, Kiesman, Yan, Jiang, Antia, Yang, Fillon, Xiao, Shi, all Biogen, verified via Crossref. (2) 'Assembled without chromatography' must be split in two. The abstract says fragments 'were synthesized and assembled into the 18-mer without column chromatography', but separately that purities are suitable for clinical use 'after applying standard full-length product purification process', and that impurity control in assembly 'demonstrated the potential to eliminate chromatography of full-length oligonucleotides'. So the published claim is chromatography-free ASSEMBLY, not a chromatography-free DRUG SUBSTANCE. Do not cite it for the latter.",2026-09-18 closure verified across five independent indexes; abstract read in full from PubMed; fragment figures corroborated verbatim via SRC-NAR-2025; Crossref record checked; no erratum,
SRC-NATCOMM-2024,"Template-dependent DNA ligation for modified oligonucleotides, Nat. Commun. 2024, s41467-024-52141-8",https://www.nature.com/articles/s41467-024-52141-8,open access,full-text-read,analytical (pmol-nmol); modified/PS,"~5% phosphodiester impurity in starting fragments is ONE of several stated origins of carry-through. The 82-96% conversion range is the initial ligase screen on a NATURAL (unmodified) shortmer, not a modified-oligo figure. 5'-monophosphorothioate fragments reacted only ~30% vs >95% for 5'-monophosphate.",2026-09-17 checked against source,
SRC-NAR-2025,"From liquid-phase synthesis to chemical ligation (review), NAR 2025, gkaf1084",https://academic.oup.com/nar/article/53/20/gkaf1084/8313842,open access; full text read at PubMed Central PMC12585914 (also Europe PMC),full-text-read,"review; covers liquid-phase synthesis, chemical ligation AND ligase-assisted assembly","Sole author Pasi Virta (Univ. Turku), NAR 2025 53(20):gkaf1084, doi 10.1093/nar/gkaf1084, PMID 41189059, PMCID PMC12585914. INDEPENDENTLY CORROBORATES the SRC-ZHOU-2022 fragment figures this register could not previously verify: verbatim, 5'-O-DMTr-protected tetra- and pentamer fragments 'were synthesized in 0.3 and 3 kg scale batches' and 'resulting in fragment yields of 62%-76% and purities of 90%-95%'. NEW AND LOAD-BEARING: the ASSEMBLED product, verbatim, 'the 5'-DMTr-protected 18-mer product ... was obtained at a scale of 200 g with a yield of 49% and a purity of 80% without the need for chromatography.' Also verbatim on enzymatic ligation: 'One pot ligation at 4C for 24 h with a slight excess (1.4 equiv.) of four fragments, three pentamers and one hexamer, and a template resulted in a product with a yield and purity of 71% and 85%, respectively.' And on a solution-phase modified strand: 'An 18-mer 2'-OMe phosphorothioate oligonucleotide was synthesized with 97%-100% stepwise filtration yields and a purity of 72%.'",2026-09-18 read in full at PMC12585914; record verified via Europe PMC (isOpenAccess Y),
SRC-ATDBIO-SPOS,"ATDBio, Solid-phase oligonucleotide synthesis (chapter)",https://atdbio.com/nucleic-acids-book/Solid-phase-oligonucleotide-synthesis,reachable,web-page-read,general SPOS; unmodified basis,Full-length = (stepwise yield)^(n-1) couplings; its table gives 20 bases at 98.5% = 75.0%. Basis figures are unmodified DNA.,2026-09-17 checked against source,
SRC-ATDBIO-PUR,"ATDBio, Purification of oligonucleotides (chapter)",https://atdbio.com/nucleic-acids-book/Purification-of-oligonucleotides,reachable,web-page-read,general,RP-HPLC 'particularly effective in purifying short oligonucleotides (under 40 bases)'; anion-exchange effective 5-50 nt and useful for longer oligos 40-100 nt; n-1 separation harder as length grows (stated for RP-HPLC).,2026-09-17 checked against source,
SRC-ZYDNEY-2024,"Banik, Qian, Mason, Zydney, Development of charged membranes for the ultrafiltration of siRNA, J. Membr. Sci. 2025, 713:123274 (online Sep 2024)",https://www.sciencedirect.com/science/article/abs/pii/S0376738824008688,abstract open at the Penn State research portal and at ScholarSphere; the ScholarSphere deposit file is behind a Cloudflare Turnstile interstitial that no automated route passed. A human browser will pass it: scholarsphere.psu.edu/resources/96c4cdba-f967-4b07-94fb-89387a3900ca/downloads/51546,abstract-only,bench; siRNA duplex,"Duplex MW 17.15 kDa by SEC-MALS. Ultracel composite regenerated-cellulose membranes over a RANGE of MWCOs; the abstract does not enumerate them. Bromopropanesulfonic-acid-modified negatively charged membranes raised max achievable concentration 'from 52 to >180 mg/mL'. | 2026-09-18: the MWCO enumeration remains UNAVAILABLE - the paper says only 'a range' and every route to the full text was blocked by Turnstile, not by a paywall. THE '1/3/10/30 kDa, 30 kDa upper limit' CLAIM IS STILL UNSUPPORTED AND MUST NOT BE REPEATED. A search summary produced very specific-sounding text matching it and no source containing those words could be opened, so nothing was registered from it. What CAN be quoted points the other way, to small cut-offs: at least 2x the MWCO for robust retention (SRC-GRONKE-2023), the vendor 3-6x rule (SRC-SCHWARTZ-BPI-2003, SRC-PALL-TFF), and the companion paper's own optimisation run entirely at 10 kDa (SRC-ZYDNEY-2025).",2026-09-17 checked against source; author list via Crossref (no 'Bezanson'); 30 kDa MWCO and >190 g/L are NOT in this paper,
